Husstandenes gennemsnitlige forbrug efter prisenhed, forbrugsgruppe og tid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enhed: Kr. pr. husstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Løbende priser;02.1.1.1 Spiritus og likør;565;623;677;775;821;827;852;792;713;776;721;746;701;692;723;697;650;623;598;651;616;558;641;678;746;755;870;926;880
;02.1.1.2 Alkoholiske læskedrikke;0;0;1;4;11;6;0;10;15;28;24;25;12;26;35;30;17;10;9;13;13;12;10;11;9;15;38;42;51
;02.1.2.1 Vin af druer;1619;1822;2038;2090;2073;2167;2197;2228;2251;2318;2275;2332;1858;2050;2395;2757;2475;2509;2411;2636;2808;2334;2416;2489;2580;2691;2853;2598;2659
;02.1.2.2 Vin af andre frugter;18;26;36;41;39;47;45;49;35;43;27;24;25;43;85;117;122;129;119;100;74;59;40;44;44;37;36;24;39
;02.1.2.3 Hedvin;91;107;116;113;109;141;117;102;80;66;87;104;125;94;127;116;104;103;96;101;95;84;132;154;129;124;167;124;149
;02.1.2.4 Vinbaserede drikkevarer og alkoholfri vin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;71;83;92;23;10;3;9;5;2;6;8;8
;02.1.3.1 Pilsnerøl, guldøl;1657;1617;1675;1883;1784;1686;1617;1445;1320;1310;1202;1267;1023;997;1062;1261;1202;1162;1169;1171;1191;853;575;971;1072;1121;935;963;960
;02.1.3.2 Andre alkoholholdige øl;17;16;15;17;15;15;15;15;14;13;12;13;12;13;15;18;16;14;14;14;14;497;559;145;155;134;178;247;241
;02.1.3.3 Øl med lavt alkoholindhold og alkoholfri øl;1;1;1;2;2;3;8;8;9;7;6;7;5;2;1;1;3;7;9;10;13;16;6;15;20;13;33;44;57
;02.1.3.4 Øl-baserede drikkevarer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;1;1;0;0
Faste priser;02.1.1.1 Spiritus og likør;484;527;568;652;682;677;697;641;575;666;801;826;776;750;755;711;657;636;611;656;620;558;643;685;750;760;883;930;867
;02.1.1.2 Alkoholiske læskedrikke;0;0;1;3;8;5;0;8;12;22;24;25;12;25;35;30;17;10;9;12;13;12;10;12;10;19;49;54;64
;02.1.2.1 Vin af druer;2211;2435;2683;2708;2650;2711;2695;2686;2697;2782;2739;2842;2258;2468;2769;3141;2820;2883;2544;2700;2847;2334;2416;2474;2532;2622;2809;2542;2530
;02.1.2.2 Vin af andre frugter;24;35;47;52;49;58;54;57;42;51;32;29;30;51;97;131;137;146;125;102;75;59;40;43;49;40;39;26;41
;02.1.2.3 Hedvin;119;141;153;146;141;183;151;128;97;79;103;126;153;115;153;138;123;122;104;105;98;84;128;143;117;108;148;109;123
;02.1.2.4 Vinbaserede drikkevarer og alkoholfri vin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;80;87;94;24;10;3;9;5;2;6;8;8
;02.1.3.1 Pilsnerøl, guldøl;2124;2064;2091;2269;2118;1967;1824;1652;1554;1547;1430;1536;1237;1184;1134;1287;1226;1159;1073;1069;1158;853;575;958;1054;1087;929;960;888
;02.1.3.2 Andre alkoholholdige øl;22;21;20;21;19;18;19;18;17;16;15;17;14;15;16;19;16;14;13;14;14;497;560;141;143;122;168;234;216
;02.1.3.3 Øl med lavt alkoholindhold og alkoholfri øl;2;2;2;3;4;5;13;13;15;12;10;10;8;3;1;1;3;8;9;10;13;16;6;14;19;13;33;46;57
;02.1.3.4 Øl-baserede drikkevarer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;2;2;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forbruget er inklusivt moms. Usikkerhedsberegninger for FU ligger på www.dst.dk/forbrug. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;